rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20240312000736,11011,2023,00126380,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,-,제 55 기,49680710000000,제 54 기,39031415000000,제 53 기,29382578000000,2,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,-,제 55 기,69080893000000,제 54 기,49680710000000,제 53 기,39031415000000,3,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,-표준계정코드 미사용-,매각예정분류,-,제 55 기,-14153000000,제 54 기,0,제 53 기,139000000,8,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,-,제 55 기,-8593059000000,제 54 기,-19390049000000,제 53 기,-23991033000000,9,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,dart_ProceedsFromLongTermBorrowings,장기차입금의 차입 (주27),-,제 55 기,354712000000,제 54 기,271997000000,제 53 기,58279000000,10,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,dart_RepaymentsOfLongTermBorrowings,사채 및 장기차입금의 상환 (주27),-,제 55 기,1219579000000,제 54 기,1508465000000,제 53 기,894749000000,11,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,-표준계정코드 미사용-,비지배지분의 증감,-,제 55 기,-9118000000,제 54 기,-6000000,제 53 기,-27270000000,12,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInIncreaseDecreaseInCurrentBorrowings,단기차입금의 순증가(감소) (주27),-,제 55 기,2145400000000,제 54 기,-8339149000000,제 53 기,-2616943000000,13,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,-,제 55 기,9864474000000,제 54 기,9814426000000,제 53 기,20510350000000,14,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,-,제 55 기,-16922817000000,제 54 기,-31602804000000,제 53 기,-33047763000000,15,KRW,
