rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20240312000736,11011,2023,00126380,IS,손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 55 기,6566976000000,제 54 기,43376630000000,제 53 기,51633856000000,6,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,dart_OtherGains,기타이익,-,제 55 기,1180448000000,제 54 기,1962071000000,제 53 기,2205695000000,7,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,dart_OtherLosses,기타손실,-,제 55 기,1083327000000,제 54 기,1790176000000,제 53 기,2055971000000,8,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 55 기,71979938000000,제 54 기,68812960000000,제 53 기,61559601000000,9,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_CostOfSales,매출원가,-,제 55 기,180388580000000,제 54 기,190041770000000,제 53 기,166411342000000,10,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),-,제 55 기,2131,제 54 기,8057,제 53 기,5777,12,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),-,제 55 기,2131,제 54 기,8057,제 53 기,5777,13,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 55 기,12645530000000,제 54 기,19027689000000,제 53 기,7704554000000,14,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 55 기,16100148000000,제 54 기,20828995000000,제 53 기,8543187000000,15,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 55 기,78546914000000,제 54 기,112189590000000,제 53 기,113193457000000,16,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),-,제 55 기,-4480835000000,제 54 기,-9213603000000,제 53 기,13444377000000,17,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_ProfitLoss,당기순이익(손실),-,제 55 기,15487100000000,제 54 기,55654077000000,제 53 기,39907450000000,18,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),-,제 55 기,1013699000000,제 54 기,924059000000,제 53 기,663659000000,20,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),-,제 55 기,14473401000000,제 54 기,54730018000000,제 53 기,39243791000000,21,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 55 기,11006265000000,제 54 기,46440474000000,제 53 기,53351827000000,22,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),-,제 55 기,15487100000000,제 54 기,55654077000000,제 53 기,39907450000000,23,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_Revenue,영업수익,-,제 55 기,258935494000000,제 54 기,302231360000000,제 53 기,279604799000000,24,KRW,
20240312000736,11011,2023,00126380,IS,손익계산서,ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,-,제 55 기,887550000000,제 54 기,1090643000000,제 53 기,729614000000,25,KRW,
